id,rate,Rank,State/Territory,Total Cases,Cases in Last 7 Days,Total Deaths,Deaths in Last 7 Days
0,8.9,39,West Virginia,16628,1280,358,24
1,7.4,26,Florida,707751,15517,14671,639
2,11,44,Illinois,304280,13861,9040,195
3,7.4,26,Minnesota,103826,6188,2133,66
4,6.9,22,Maryland,127791,3911,3961,23
5,12.8,50,Rhode Island,25076,895,1118,11
6,4.2,3,Idaho,43964,3463,482,22
7,6.5,17,New Hampshire,8645,473,443,4
8,6.5,17,North Carolina,217496,10116,3634,193
9,4.8,4,Vermont,1785,43,58,0
10,8.1,34,Connecticut,58297,1710,4513,12
11,8.9,39,Delaware,21363,974,645,11
12,11.3,45,New Mexico,30477,1633,892,22
13,11.4,47,California,823729,21421,16120,533
14,10.9,43,New Jersey,208202,4654,16136,30
15,6.2,14,Wisconsin,139928,17450,1388,97
16,7.7,32,Oregon,34770,1950,572,25
17,4,1,Nebraska,47807,3744,501,31
18,10.3,42,Pennsylvania,163535,7385,8216,110
19,8.5,35,Washington,89874,3605,2142,43
20,7.6,30,Louisiana,169719,3644,5577,112
21,5.6,7,Georgia,322925,8240,7162,216
22,5.6,7,Alabama,159169,6848,2558,57
23,4.1,2,Utah,77618,7003,478,25
24,8.9,39,Ohio,158907,8098,4925,184
25,6.8,21,Texas,765894,30762,16025,503
26,6.7,20,Colorado,73076,3997,2067,26
27,6.3,15,South Carolina,151582,5695,3453,127
28,5.7,10,Oklahoma,97580,7014,1058,47
29,8.5,35,Tennessee,201210,8215,2577,200
30,6.6,19,Wyoming,6504,871,53,3
31,12.5,48,Hawaii,12991,794,156,25
32,5,6,North Dakota,23862,2879,277,43
33,7.6,30,Kentucky,72617,6126,1209,52
37,6.9,22,Maine,5545,245,142,2
38,12.5,48,New York,218165,5232,9068,41
39,13.2,51,Nevada,82204,3369,1665,38
40,7.4,26,Alaska,8405,924,58,2
42,8.7,38,Michigan,141271,6898,7124,80
43,7.4,26,Arkansas,87013,5771,1425,117
44,7.9,33,Mississippi,100703,3654,3013,92
45,7,25,Missouri,132431,9155,2173,110
46,5.6,7,Montana,14635,2528,187,14
47,6.9,22,Kansas,61111,4519,698,66
48,6.4,16,Indiana,125146,7696,3674,94
50,4.8,4,South Dakota,24418,2877,248,30
51,11.3,45,Massachusetts,142336,4014,9503,104
52,6.1,13,Virginia,152557,5964,3276,104
53,8.5,35,District of Columbia,15519,269,631,7
54,6,12,Iowa,92584,6227,1383,68
55,5.9,11,Arizona,220754,3517,5706,83
