State/Territory,Total Cases,Cases in Last 7 Days,Total Deaths,Deaths in Last 7 Days
Alaska,8405,924,58,2
Alabama,159169,6848,2558,57
Arkansas,87013,5771,1425,117
American Samoa,0,0,0,0
Arizona,220754,3517,5706,83
California,823729,21421,16120,533
Colorado,73076,3997,2067,26
Connecticut,58297,1710,4513,12
District of Columbia,15519,269,631,7
Delaware,21363,974,645,11
Florida,707751,15517,14671,639
Federated States of Micronesia,0,0,0,0
Georgia,322925,8240,7162,216
Guam,2617,331,49,10
Hawaii,12991,794,156,25
Iowa,92584,6227,1383,68
Idaho,43964,3463,482,22
Illinois,304280,13861,9040,195
Indiana,125146,7696,3674,94
Kansas,61111,4519,698,66
Kentucky,72617,6126,1209,52
Louisiana,169719,3644,5577,112
Massachusetts,142336,4014,9503,104
Maryland,127791,3911,3961,23
Maine,5545,245,142,2
Michigan,141271,6898,7124,80
Minnesota,103826,6188,2133,66
Missouri,132431,9155,2173,110
Northern Mariana Islands,75,5,2,0
Mississippi,100703,3654,3013,92
Montana,14635,2528,187,14
North Carolina,217496,10116,3634,193
North Dakota,23862,2879,277,43
Nebraska,47807,3744,501,31
New Hampshire,8645,473,443,4
New Jersey,208202,4654,16136,30
New Mexico,30477,1633,892,22
Nevada,82204,3369,1665,38
New York,218165,5232,9068,41
New York City,247731,3891,23861,53
Ohio,158907,8098,4925,184
Oklahoma,97580,7014,1058,47
Oregon,34770,1950,572,25
Pennsylvania,163535,7385,8216,110
Puerto Rico,51305,3883,695,47
Palau,0,0,0,0
Rhode Island,25076,895,1118,11
Republic of Marshall Islands,0,0,0,0
South Carolina,151582,5695,3453,127
South Dakota,24418,2877,248,30
Tennessee,201210,8215,2577,200
Texas,765894,30762,16025,503
Utah,77618,7003,478,25
Virginia,152557,5964,3276,104
Virgin Islands,1327,10,20,1
Vermont,1785,43,58,0
Washington,89874,3605,2142,43
Wisconsin,139928,17450,1388,97
West Virginia,16628,1280,358,24
Wyoming,6504,871,53,3
United States of America,7396730,301438,209199,4874
